sp,overwintering.stage,voltinism,notes
Actias luna,Pupae,multi,caterpillars exposed to long photoperiods produce non-diapausing pupae
Adelpha californica,NA,multi,NA
Adelpha eulalia,Larvae,multi,NA
Adelpha fessonia,None,multi,Flies year round
Aglais milberti,Adult,multi,NA
Amblyscirtes celia,Larvae,multi,NA
Amorpha juglandis,NA,multi,retry?
Amphion floridensis,Larvae,multi,NA
Anaea aidea,None,multi,NA
Anaea andria,Adult,multi,NA
Anartia jatrophae,None,multi,Flies year round
Anatrytone logan,Pupae,multi,Mature larvae or pupa
Ancyloxypha numitor,Larvae,multi,NA
Anisota peigleri,Pupae,uni,NA
Anisota pellucida,Pupae,multi,NA
Anisota senatoria,Pupae,uni,NA
Anisota stigma,Pupae,uni,NA
Anisota virginiensis,Pupae,multi,NA
Anthanassa texana,None,multi,Flies year round
Anthanassa tulcis,None,multi,Flies year round
Antheraea polyphemus,Pupae,multi,NA
Anthocharis midea,Pupae,uni,NA
Anthocharis sara,Pupae,multi,NA
Apodemia mejicanus,NA,multi,NA
Apodemia virgulti,Larvae,multi,NA
Apyrrothrix araxes,Larvae,multi,NA
Asbolis capucinus,None,multi,Flies year round
Ascia monuste,None,multi,Flies year round
Asterocampa celtis,Larvae,multi,NA
Asterocampa clyton,Larvae,multi,NA
Atlides halesus,Pupae,multi,NA
Automeris io,Pupae,multi,NA
Battus philenor,Pupae,multi,NA
Battus polydamas,Pupae,multi,NA
Boloria bellona,Larvae,multi,NA
Boloria chariclea,Larvae,uni,NA
Boloria epithore,Larvae,uni,NA
Boloria selene,Larvae,multi,NA
Brephidium exilis,None,multi,"Flies year round in southern part of range, overwinters as pupae in northern part"
Calephelis nemesis,Larvae,multi,NA
Calephelis perditalis,None,multi,Flies year round
Calephelis wrighti,NA,multi,NA
Callophrys augustinus,Pupae,uni,NA
Callophrys dumetorum,Pupae,uni,NA
Callophrys eryphon,Pupae,uni,NA
Callophrys gryneus,Pupae,multi,NA
Callophrys henrici,Pupae,uni,NA
Callophrys mcfarlandi,Pupae,uni,NA
Callophrys niphon,Pupae,uni,NA
Callophrys viridis,Pupae,uni,NA
Callosamia promethea,Pupae,multi,NA
Calycopis isobeon,None,multi,Flies year round
Caria ino,Larvae,uni,NA
Celastrina ladon,Pupae,multi,NA
Celastrina lucia,Pupae,multi,NA
Celastrina neglecta,Pupae,multi,NA
Celotes nessus,Larvae,multi,NA
Ceratomia catalpae,Pupae,multi,NA
Ceratomia undulosa,Pupae,multi,NA
Cercyonis oetus,Larvae,uni,NA
Cercyonis pegala,Larvae,uni,NA
Chiomara georgina,NA,multi,NA
Chlosyne acastus,Larvae,multi,NA
Chlosyne californica,Larvae,multi,NA
Chlosyne gabbii,Larvae,uni,NA
Chlosyne gorgone,Larvae,multi,NA
Chlosyne hoffmanni,Larvae,uni,NA
Chlosyne janais,None,multi,Flies year round
Chlosyne nycteis,Larvae,multi,NA
Chlosyne palla,Larvae,uni,NA
Chlosyne theona,Larvae,multi,NA
Cissia rubricata,Larvae,multi,NA
Citheronia regalis,Pupae,uni,NA
Cogia calchas,NA,multi,NA
Colias philodice,Larvae,multi,NA
Coloradia pandora,Larvae,uni,semivoltine
Copaeodes aurantiaca,NA,multi,NA
Copaeodes minima,None,multi,Flies year round
Cupido amyntula,Larvae,multi,NA
Cupido comyntas,Larvae,multi,NA
Cyllopsis gemma,Larvae,multi,NA
Cymaenes trebius,NA,NA,NA
Danaus eresimus,Larvae,multi,Flies year round
Darapsa choerilus,Pupae,multi,NA
Darapsa myron,Pupae,multi,NA
Deidamia inscriptum,Pupae,uni,NA
Dolba hyloeus,Pupae,multi,NA
Dryocampa rubicunda,Pupae,multi,NA
Dymasia dymas,NA,multi,NA
Eacles imperialis,Pupae,uni,NA
Eantis tamenund,None,multi,Flies year round
Epargyreus clarus,Pupae,multi,NA
Erinnyis obscura,NA,NA,NA
Erynnis baptisiae,Larvae,multi,NA
Erynnis funeralis,NA,multi,NA
Erynnis horatius,Larvae,multi,NA
Erynnis juvenalis,Larvae,multi,NA
Erynnis propertius,Larvae,multi,NA
Erynnis tristis,Larvae,multi,NA
Erynnis zarucco,Larvae,multi,NA
Euchloe ausonides,Pupae,multi,NA
Eumaeus atala,None,multi,Flies year round
Eumorpha pandorus,Pupae,multi,NA
Eupackardia calleta,Pupae,multi,NA
Euphilotes ancilla,Pupae,uni,NA
Euphilotes enoptes,Pupae,uni,NA
Euphyes dion,Larvae,multi,NA
Eurytides marcellus,Pupae,multi,NA
Feniseca tarquinius,Pupae,multi,NA
Glaucopsyche lygdamus,Pupae,uni,NA
Gyrocheilus patrobas,NA,uni,NA
Habrodais grunus,Egg,uni,NA
Heliopetes macaira,None,multi,Flies year round
Hemaris diffinis,Pupae,multi,NA
Hemileuca eglanterina,Egg,uni,Semivoltine
Hermeuptychia sosybius,Larvae,multi,NA
Hesperia colorado,Egg,uni,NA
Hyalophora cecropia,Pupae,uni,NA
Hyalophora euryalus,Pupae,uni,NA
Icaricia acmon,Pupae,multi,NA
Icaricia icarioides,Larvae,uni,NA
Icaricia lupini,Larvae,multi,NA
Junonia neildi,None,multi,Flies year round
Lapara bombycoides,Pupae,uni,NA
Lasaia sula,NA,NA,NA
Lethe anthedon,Larvae,multi,NA
Lethe appalachia,Larvae,multi,NA
Lethe eurydice,Larvae,uni,NA
Limenitis lorquini,Larvae,multi,NA
Limenitis weidemeyerii,Larvae,multi,NA
Lon hobomok,Larvae,uni,NA
Lon melane,NA,multi,NA
Lon taxiles,Larvae,uni,NA
Lycaena cupreus,Larvae,uni,NA
Manduca rustica,Pupae,NA,NA
